QID	nDCG@10	MRR	Rel_Found
36001	0.0000	0.0000	
173220	0.0000	0.0000	
118448	0.0000	0.0000	
140877	0.0000	0.0000	
310036	0.0000	0.0000	
1090228	0.0000	0.0000	
46356	0.0000	0.0000	
26424	0.0000	0.0000	
311669	0.0000	0.0000	
133195	0.0000	0.0000	
52448	0.0000	0.0000	
81571	0.0000	0.0000	
271852	0.0000	0.0000	
1090226	0.0000	0.0000	
92542	0.0000	0.0000	
273953	0.0000	0.0000	
242357	0.0000	0.0000	
166128	0.0000	0.0000	
340010	0.0000	0.0000	
140106	0.0000	0.0000	
206117	0.0000	0.0000	
363651	1.0000	1.0000	7072163
186282	0.0000	0.0000	
321086	0.0000	0.0000	
244624	0.0000	0.0000	
1090223	1.0000	1.0000	7072219
279094	0.3333	0.1429	7072231
332387	0.0000	0.0000	
360297	0.0000	0.0000	
163610	0.0000	0.0000	
141472	0.0000	0.0000	
293992	0.0000	0.0000	
1090212	0.0000	0.0000	
196232	0.0000	0.0000	
129626	0.0000	0.0000	
352818	0.0000	0.0000	
136296	0.0000	0.0000	
119535	0.0000	0.0000	
1090211	0.0000	0.0000	
342215	0.0000	0.0000	
13916	0.0000	0.0000	
53179	0.0000	0.0000	
350824	0.0000	0.0000	
77204	0.0000	0.0000	
337469	0.0000	0.0000	
224912	0.0000	0.0000	
363580	0.0000	0.0000	
1090209	0.0000	0.0000	
234075	0.0000	0.0000	
241421	0.0000	0.0000	
194947	0.0000	0.0000	
45924	0.0000	0.0000	
155761	0.0000	0.0000	
20561	0.0000	0.0000	
1090208	0.0000	0.0000	
81641	0.0000	0.0000	
53940	0.0000	0.0000	
276316	0.0000	0.0000	
77972	0.0000	0.0000	
333372	0.0000	0.0000	
1090207	0.0000	0.0000	
208145	0.0000	0.0000	
126478	0.0000	0.0000	
167519	0.0000	0.0000	
1090206	0.0000	0.0000	
317483	0.0000	0.0000	
58104	0.4307	0.2500	7072926
340120	0.0000	0.0000	
215130	0.0000	0.0000	
253984	0.0000	0.0000	
258682	0.0000	0.0000	
1101274	0.0000	0.0000	
1090203	0.0000	0.0000	
141216	0.0000	0.0000	
211915	0.3869	0.2000	7073035
1090201	0.3562	0.1667	7073109
200586	0.0000	0.0000	
173807	0.0000	0.0000	
67699	0.0000	0.0000	
27320	0.0000	0.0000	
1090200	0.0000	0.0000	
79891	0.0000	0.0000	
161490	0.0000	0.0000	
303272	0.0000	0.0000	
208494	0.0000	0.0000	
133560	0.0000	0.0000	
207859	0.0000	0.0000	
1090199	0.0000	0.0000	
227909	0.0000	0.0000	
